"","pctilleg","pctkids2par","numilleg","racepctwhite","racepctblack","pctpersdensehouse","pctfam2par","pctvacantboarded","numstreet","pcthouseless3br","malepctdivorce","mixedCommunity","immigrantCommunity","violentcrimesperpopulation"
"1",0.14,0.59,0.04,0.9,0.02,0.09,0.55,0.05,0,0.51,0.68,2,1,0.2
"2",0.24,0.47,0,0.74,0.12,0.2,0.43,0.02,0,0.82,1,1,2,0.67
"3",0.46,0.44,0.01,0.56,0.49,0.15,0.42,0.29,0,0.51,0.63,2,1,0.43
"4",0.33,0.54,0.03,0.08,1,0.12,0.65,0.6,0,0.01,0.34,2,1,0.12
"5",0.06,0.91,0,0.95,0.02,0.02,0.91,0.04,0,0.19,0.22,1,1,0.03
"6",0.11,0.69,0,0.54,0.06,0.26,0.62,0.16,0,0.73,0.49,2,2,0.14
"7",0.13,0.81,0,0.98,0,0.03,0.77,0.09,0,0.46,0.25,1,1,0.03
"8",0.5,0.43,0.02,0.46,0.03,0.89,0.45,0.22,0,0.66,0.38,2,2,0.55
"9",0.29,0.55,0.02,0.84,0.2,0.1,0.51,0.05,0,0.64,0.62,2,1,0.53
"10",0.07,0.73,0,0.87,0.06,0.03,0.65,0.07,0,0.58,0.3,1,2,0.15
"11",0.3,0.56,0.05,0.07,0.15,0.91,0.62,0.1,0.14,0.63,0.41,2,2,0.24
"12",0.14,0.87,0.01,0.91,0.08,0.09,0.85,0.07,0,0.41,0.18,1,1,0.08
"13",0.03,0.9,0,0.96,0.01,0.02,0.87,0,0,0.25,0.13,1,1,0.06
"14",0.08,0.92,0,0.98,0,0.04,0.88,0.05,0,0.45,0.37,1,1,0.09
"15",0.1,0.68,0.01,0.85,0.01,0.21,0.66,0,0.11,0.54,0.6,2,2,0.21
"16",0.19,0.6,0.01,0.93,0.06,0.04,0.55,0.41,0,0.53,0.5,1,1,0.3
"17",0.73,0.25,0.13,0.63,0.4,0.1,0.2,0.79,0.02,0.6,0.5,2,2,0.49
"18",0.04,0.88,0,0.94,0.01,0.04,0.88,0.25,0,0.27,0.25,1,1,0.07
"19",0.11,0.73,0.01,0.97,0.01,0.06,0.66,0.27,0,0.55,0.38,1,1,0.15
"20",0.06,0.74,0,0.96,0.05,0.04,0.76,0.31,0,0.42,0.31,1,1,0.03
"21",0.22,0.61,0.08,0.71,0.05,0.39,0.6,0.09,0.09,0.48,0.6,2,2,0.34
"22",0.35,0.51,0.49,0.59,0.47,0.2,0.53,0.52,0.36,0.49,0.69,2,1,0.69
"23",0.2,0.53,0.01,0.87,0.02,0.18,0.49,0.33,0,0.71,0.72,1,1,0.21
"24",0.26,0.61,0.05,0.89,0.04,0.12,0.59,0.45,0.01,0.56,0.48,1,1,0.63
"25",0.43,0.46,0.03,0,0.05,1,0.54,0.15,0,0.63,0.28,2,2,0.31
"26",0.07,0.6,0,0.91,0.02,0.09,0.58,0.1,0,0.61,0.6,1,2,0.12
"27",0.49,0.47,0.05,0,0.46,0.81,0.47,0.08,0,0.79,0.55,2,2,0.84
"28",0.06,0.68,0,0.99,0.01,0.03,0.65,0.3,0,0.4,0.51,1,1,0.1
"29",0.29,0.44,0.01,0.64,0.43,0.07,0.41,0.3,0,0.53,0.61,2,1,0.49
"30",0.04,0.83,0,0.98,0.01,0.04,0.83,0.04,0,0.38,0.41,1,1,0.02
"31",0.05,0.63,0,0.99,0,0.05,0.63,0.1,0,0.46,0.54,1,1,0.16
"32",0.29,0.53,0.12,0.84,0.14,0.12,0.51,0.84,0.04,0.63,0.63,1,1,0.19
"33",0.69,0.53,0.03,0.7,0.32,0.14,0.55,0.07,0,0.71,0.09,2,2,0.15
"34",0.48,0.42,0.07,0.58,0.51,0.08,0.41,0.33,0,0.51,0.48,2,1,0.31
"35",0.07,0.82,0,0.6,0.06,0.14,0.79,0.01,0,0.53,0.52,1,2,0.08
"36",0.32,0.49,0.09,0.84,0.19,0.09,0.47,0.37,0.01,0.67,0.69,2,1,0.24
"37",0.11,0.77,0.01,0.74,0.06,0.23,0.78,0.23,0,0.44,0.36,2,1,0.11
"38",0.3,0.59,0.01,0.69,0.01,0.54,0.62,0.17,0,0.74,0.3,2,2,0.22
"39",0.23,0.63,0.01,0.65,0.24,0.21,0.65,0.26,0,0.5,0.47,2,1,0.13
"40",0.22,0.81,0,0.67,0.21,0.09,0.75,0.02,0,0.88,0.53,2,2,0.07
"41",0.07,0.73,0,0.98,0.01,0.08,0.72,0.03,0,0.33,0.32,1,1,0.11
"42",0.13,0.68,0.01,0.88,0.08,0.08,0.67,0.12,0,0.58,0.39,1,1,0.06
"43",0.39,0.31,0.01,0,1,0.14,0.3,0.67,0.01,0.5,0.58,2,1,0.8
